gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL28	E	4h	4	C6	C6_4h	525.486075			cluster_2
UL28	E	6h	6	C6	C6_6h	0			cluster_2
UL28	E	8h	8	C6	C6_8h	0			cluster_2
UL28	E	12h	12	NRK	NRK_12h	17.924841			cluster_2
UL28	E	1h	1	NRK	NRK_1h	0			cluster_2
UL28	E	2h	2	NRK	NRK_2h	0			cluster_2
UL28	E	4h	4	NRK	NRK_4h	0			cluster_2
UL28	E	6h	6	NRK	NRK_6h	269.070362			cluster_2
UL28	E	8h	8	NRK	NRK_8h	81.685999			cluster_2
UL28	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_2
UL28	E	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_2
UL28	E	12h	12	PC_12	PC_12_12h	27.30245			cluster_2
UL28	E	1h	1	PC_12	PC_12_1h	0			cluster_2
UL28	E	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_2
UL28	E	2h	2	PC_12	PC_12_2h	0			cluster_2
UL28	E	4h	4	PC_12	PC_12_4h	0			cluster_2
UL28	E	6h	6	PC_12	PC_12_6h	26.651031			cluster_2
UL28	E	8h	8	PC_12	PC_12_8h	0			cluster_2
UL28	E	12h	12	PK_15	PK_15_12h	0			cluster_2
UL28	E	1h	1	PK_15	PK_15_1h	0			cluster_2
UL28	E	2h	2	PK_15	PK_15_2h	362.056481			cluster_2
UL28	E	4h	4	PK_15	PK_15_4h	40.594301			cluster_2
UL28	E	6h	6	PK_15	PK_15_6h	24.193743			cluster_2
UL28	E	8h	8	PK_15	PK_15_8h	13.157952			cluster_2
UL29	E	12h	12	C6	C6_12h	0			cluster_2
UL29	E	1h	1	C6	C6_1h	0			cluster_2
UL29	E	2h	2	C6	C6_2h	1239.157373			cluster_2
UL29	E	4h	4	C6	C6_4h	0			cluster_2
UL29	E	6h	6	C6	C6_6h	0			cluster_2
UL29	E	8h	8	C6	C6_8h	0			cluster_2
UL29	E	12h	12	NRK	NRK_12h	0			cluster_2
UL29	E	1h	1	NRK	NRK_1h	0			cluster_2
UL29	E	2h	2	NRK	NRK_2h	6472.491909			cluster_2
UL29	E	4h	4	NRK	NRK_4h	2347.41784			cluster_2
UL29	E	6h	6	NRK	NRK_6h	1345.35181			cluster_2
UL29	E	8h	8	NRK	NRK_8h	0			cluster_2
UL29	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_2
UL29	E	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_2
UL29	E	12h	12	PC_12	PC_12_12h	0			cluster_2
UL29	E	1h	1	PC_12	PC_12_1h	0			cluster_2
UL29	E	2.5h	2.5	PC_12	PC_12_2.5h	1480.3849			cluster_2
UL29	E	2h	2	PC_12	PC_12_2h	2668.445631			cluster_2
UL29	E	4h	4	PC_12	PC_12_4h	200.7629			cluster_2
UL29	E	6h	6	PC_12	PC_12_6h	0			cluster_2
UL29	E	8h	8	PC_12	PC_12_8h	0			cluster_2
UL29	E	12h	12	PK_15	PK_15_12h	0			cluster_2
UL29	E	1h	1	PK_15	PK_15_1h	0			cluster_2
UL29	E	2h	2	PK_15	PK_15_2h	7241.129617			cluster_2
UL29	E	4h	4	PK_15	PK_15_4h	0			cluster_2
UL29	E	6h	6	PK_15	PK_15_6h	0			cluster_2
UL29	E	8h	8	PK_15	PK_15_8h	0			cluster_2
UL30	E	12h	12	C6	C6_12h	90.916085			cluster_2
UL30	E	1h	1	C6	C6_1h	6163.328196			cluster_2
UL30	E	2h	2	C6	C6_2h	0			cluster_2
UL30	E	4h	4	C6	C6_4h	0			cluster_2
UL30	E	6h	6	C6	C6_6h	776.196637			cluster_2
UL30	E	8h	8	C6	C6_8h	258.2728			cluster_2
UL30	E	12h	12	NRK	NRK_12h	161.32357			cluster_2
UL30	E	1h	1	NRK	NRK_1h	0			cluster_2
UL30	E	2h	2	NRK	NRK_2h	0			cluster_2
UL30	E	4h	4	NRK	NRK_4h	586.85446			cluster_2
UL30	E	6h	6	NRK	NRK_6h	538.140724			cluster_2
UL30	E	8h	8	NRK	NRK_8h	1225.289985			cluster_2
UL30	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_2
UL30	E	1.5h	1.5	PC_12	PC_12_1.5h	2212.389381			cluster_2
UL30	E	12h	12	PC_12	PC_12_12h	0			cluster_2
UL30	E	1h	1	PC_12	PC_12_1h	2227.171492			cluster_2
UL30	E	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_2
UL30	E	2h	2	PC_12	PC_12_2h	2668.445631			cluster_2
UL30	E	4h	4	PC_12	PC_12_4h	301.144349			cluster_2
UL30	E	6h	6	PC_12	PC_12_6h	213.208251			cluster_2
UL30	E	8h	8	PC_12	PC_12_8h	191.742299			cluster_2
UL30	E	12h	12	PK_15	PK_15_12h	0			cluster_2
UL30	E	1h	1	PK_15	PK_15_1h	0			cluster_2
UL30	E	2h	2	PK_15	PK_15_2h	1086.169443			cluster_2
UL30	E	4h	4	PK_15	PK_15_4h	243.565804			cluster_2
