seqnames	strand	start	end	TSS	TES	NOV_TX_ID	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
LT934125.1	+	52936	53594	52936	53594	NOV_TX_242	0	0	0	0	0	9	26	0	0	0	0	0	0	41	0	0	0	0	0	5	0	0	0	0	37	52
LT934125.1	+	52936	55161	52936	55161	NOV_TX_243	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
LT934125.1	+	53067	53594	53067	53594	NOV_TX_246	0	0	0	0	0	9	20	0	0	0	6	5	0	0	0	0	0	0	0	12	0	0	0	9	22	36
LT934125.1	+	53224	53594	53224	53594	NOV_TX_249	0	0	0	0	0	12	54	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	22	35	24
LT934125.1	+	53311	53594	53311	53594	NOV_TX_250	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
LT934125.1	+	53406	53594	53406	53594	NOV_TX_252	58	0	0	0	0	24	26	0	0	0	0	0	0	52	0	0	0	0	16	22	0	0	0	16	47	79
LT934125.1	+	53406	55161	53406	55161	NOV_TX_253	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	53594	55161	53594	55161	NOV_TX_254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	76	0	0	0	0	0
LT934125.1	+	53648	55271	53648	55271	NOV_TX_255	14	0	0	0	0	0	28	0	0	0	0	5	0	10	0	0	0	0	0	0	27	0	0	0	0	21
LT934125.1	+	53736	55161	53736	55161	NOV_TX_257	34	0	0	0	0	12	33	0	0	0	0	0	0	39	0	0	0	0	6	8	157	0	0	0	11	34
LT934125.1	+	53896	55161	53896	55161	NOV_TX_259	25	0	0	0	0	11	26	0	0	0	5	0	0	35	0	0	0	0	9	6	146	0	0	0	14	15
LT934125.1	+	53996	55161	53996	55161	NOV_TX_261	93	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	24	249	0	0	0	0	66
LT934125.1	+	54053	55161	54053	55161	NOV_TX_263	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	15	0
LT934125.1	+	54130	55161	54130	55161	NOV_TX_265	0	0	0	0	0	0	29	0	0	0	0	5	0	0	0	0	0	0	7	10	156	0	0	0	0	0
