seqnames,strand,transcript_id,start,end,prime5,prime3,exon_number,exon_count,start.transcript,end.transcript
LT934125.1,+,1045,125240,126102,125240,126102,1,1,125240,126102
LT934125.1,+,10451,70728,71541,70728,71541,1,1,70728,71541
LT934125.1,+,10452,124791,126151,124791,126151,1,1,124791,126151
LT934125.1,+,10459,48578,49631,48578,49631,1,1,48578,49631
LT934125.1,+,1046,66519,70521,66519,70521,1,1,66519,70521
LT934125.1,+,10461,124811,126151,124811,126151,1,1,124811,126151
LT934125.1,+,10462,1600,2273,1600,2273,1,1,1600,2273
LT934125.1,+,10464,44825,46035,44825,46035,1,1,44825,46035
LT934125.1,+,10465,48598,49644,48598,49644,1,1,48598,49644
LT934125.1,+,10468,15548,16224,15548,16224,1,1,15548,16224
LT934125.1,+,10469,70136,70521,70136,70521,1,1,70136,70521
LT934125.1,+,1047,125574,126151,125574,126151,1,1,125574,126151
LT934125.1,+,10470,123065,125230,123065,125230,1,1,123065,125230
LT934125.1,+,10471,79454,79965,79454,79965,1,1,79454,79965
LT934125.1,+,10473,30948,32415,30948,32415,1,1,30948,32415
LT934125.1,+,10474,119878,120474,119878,120474,1,1,119878,120474
LT934125.1,+,10475,60253,62338,60253,62338,1,1,60253,62338
LT934125.1,+,10479,15603,16209,15603,16209,1,1,15603,16209
LT934125.1,+,1048,51289,52429,51289,52429,1,1,51289,52429
LT934125.1,+,10480,122120,122908,122120,122908,1,1,122120,122908
LT934125.1,+,10481,54860,55158,54860,55158,1,1,54860,55158
LT934125.1,+,10482,51245,52430,51245,52430,1,1,51245,52430
LT934125.1,+,10483,69298,70521,69298,70521,1,1,69298,70521
LT934125.1,+,10488,7268,8519,7268,8519,1,1,7268,8519
LT934125.1,+,10490,67840,70521,67840,70521,1,1,67840,70521
LT934125.1,+,10494,119086,120477,119086,120477,1,1,119086,120477
LT934125.1,+,10496,31112,32404,31112,32404,1,1,31112,32404
LT934125.1,+,10497,54455,55161,54455,55161,1,1,54455,55161
LT934125.1,+,105,15386,16224,15386,16224,1,1,15386,16224
LT934125.1,+,1050,15769,16224,15769,16224,1,1,15769,16224
LT934125.1,+,10500,69822,70521,69822,70521,1,1,69822,70521
LT934125.1,+,10501,78049,79994,78049,79994,1,1,78049,79994
LT934125.1,+,10502,124425,126151,124425,126151,1,1,124425,126151
LT934125.1,+,10504,46246,49643,46246,49643,1,1,46246,49643
LT934125.1,+,10506,51364,52437,51364,52437,1,1,51364,52437
LT934125.1,+,10508,124785,125230,124785,125230,1,1,124785,125230
LT934125.1,+,10509,122373,122912,122373,122912,1,1,122373,122912
LT934125.1,+,1051,51263,52428,51263,52428,1,1,51263,52428
LT934125.1,+,10511,53274,55161,53274,55161,1,1,53274,55161
LT934125.1,+,10512,75267,75651,75267,75651,1,1,75267,75651
LT934125.1,+,10513,46155,49647,46155,49647,1,1,46155,49647
LT934125.1,+,10515,1789,2275,1789,2275,1,1,1789,2275
LT934125.1,+,10516,32051,32393,32051,32393,1,1,32051,32393
LT934125.1,+,1052,118885,120477,118885,120477,1,1,118885,120477
LT934125.1,+,10520,122647,122915,122647,122915,1,1,122647,122915
LT934125.1,+,10522,68358,71541,68358,71541,1,1,68358,71541
LT934125.1,+,10523,117780,120469,117780,120469,1,1,117780,120469
LT934125.1,+,10524,69141,70521,69141,70521,1,1,69141,70521
LT934125.1,+,10525,31025,32413,31025,32413,1,1,31025,32413
LT934125.1,+,10526,119334,120466,119334,120466,1,1,119334,120466
LT934125.1,+,10527,120201,120472,120201,120472,1,1,120201,120472
LT934125.1,+,10528,32047,32414,32047,32414,1,1,32047,32414
LT934125.1,+,10529,32317,32415,32317,32415,1,1,32317,32415
LT934125.1,+,1053,54563,55161,54563,55161,1,1,54563,55161
LT934125.1,+,10531,79776,79996,79776,79996,1,1,79776,79996
LT934125.1,+,10532,119878,120330,119878,120330,1,1,119878,120330
LT934125.1,+,10538,1314,2273,1314,2273,1,1,1314,2273
LT934125.1,+,1054,70616,71541,70616,71541,1,1,70616,71541
LT934125.1,+,10540,122357,122915,122357,122915,1,1,122357,122915
LT934125.1,+,10542,15878,16224,15878,16224,1,1,15878,16224
LT934125.1,+,10549,72769,75647,72769,75647,1,1,72769,75647
LT934125.1,+,1055,53888,55161,53888,55161,1,1,53888,55161
LT934125.1,+,10550,73157,73794,73157,73794,1,1,73157,73794
LT934125.1,+,10551,51527,52437,51527,52437,1,1,51527,52437
LT934125.1,+,10552,12067,16224,12067,16224,1,1,12067,16224
LT934125.1,+,10555,70596,71541,70596,71541,1,1,70596,71541
LT934125.1,+,10556,74426,75651,74426,75651,1,1,74426,75651
LT934125.1,+,10558,1242,2267,1242,2267,1,1,1242,2267
LT934125.1,+,10559,78892,79996,78892,79996,1,1,78892,79996
LT934125.1,+,1056,9658,10431,9658,10431,1,1,9658,10431
LT934125.1,+,10560,74592,75649,74592,75649,1,1,74592,75649
LT934125.1,+,10561,71371,71544,71371,71544,1,1,71371,71544
LT934125.1,+,10562,69533,70521,69533,70521,1,1,69533,70521
LT934125.1,+,10564,1816,2273,1816,2273,1,1,1816,2273
LT934125.1,+,10565,125281,126151,125281,126151,1,1,125281,126151
LT934125.1,+,10566,13224,16224,13224,16224,1,1,13224,16224
