gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL30	E	8h	8	C6	C6_8h	854.106422			cluster_7
UL30	E	12h	12	NRK	NRK_12h	635.942262			cluster_7
UL30	E	1h	1	NRK	NRK_1h	0			cluster_7
UL30	E	2h	2	NRK	NRK_2h	3267.973856			cluster_7
UL30	E	4h	4	NRK	NRK_4h	757.690559			cluster_7
UL30	E	6h	6	NRK	NRK_6h	541.041892			cluster_7
UL30	E	8h	8	NRK	NRK_8h	1065.548413			cluster_7
UL30	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_7
UL30	E	1.5h	1.5	PC_12	PC_12_1.5h	2567.394095			cluster_7
UL30	E	12h	12	PC_12	PC_12_12h	511.32075			cluster_7
UL30	E	1h	1	PC_12	PC_12_1h	6859.756098			cluster_7
UL30	E	2.5h	2.5	PC_12	PC_12_2.5h	1291.989663			cluster_7
UL30	E	2h	2	PC_12	PC_12_2h	3921.568625			cluster_7
UL30	E	4h	4	PC_12	PC_12_4h	617.69702			cluster_7
UL30	E	6h	6	PC_12	PC_12_6h	960.885552			cluster_7
UL30	E	8h	8	PC_12	PC_12_8h	1268.629424			cluster_7
UL30	E	12h	12	PK_15	PK_15_12h	121.962892			cluster_7
UL30	E	1h	1	PK_15	PK_15_1h	1497.005988			cluster_7
UL30	E	2h	2	PK_15	PK_15_2h	4385.595009			cluster_7
UL30	E	4h	4	PK_15	PK_15_4h	748.502995			cluster_7
UL30	E	6h	6	PK_15	PK_15_6h	513.158491			cluster_7
UL30	E	8h	8	PK_15	PK_15_8h	531.316493			cluster_7
UL31	L	12h	12	C6	C6_12h	27723.736592			cluster_8
UL31	L	1h	1	C6	C6_1h	8480.104371			cluster_8
UL31	L	2h	2	C6	C6_2h	18301.982714			cluster_8
UL31	L	4h	4	C6	C6_4h	36868.97334			cluster_8
UL31	L	6h	6	C6	C6_6h	37960.185437			cluster_8
UL31	L	8h	8	C6	C6_8h	31516.526958			cluster_8
UL31	L	12h	12	NRK	NRK_12h	40145.455787			cluster_8
UL31	L	1h	1	NRK	NRK_1h	10526.315789			cluster_8
UL31	L	2h	2	NRK	NRK_2h	14705.882352			cluster_8
UL31	L	4h	4	NRK	NRK_4h	23033.793001			cluster_8
UL31	L	6h	6	NRK	NRK_6h	20752.821146			cluster_8
UL31	L	8h	8	NRK	NRK_8h	28219.846697			cluster_8
UL31	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_8
UL31	L	1.5h	1.5	PC_12	PC_12_1.5h	15404.364568			cluster_8
UL31	L	12h	12	PC_12	PC_12_12h	45261.355242			cluster_8
UL31	L	1h	1	PC_12	PC_12_1h	6859.756098			cluster_8
UL31	L	2.5h	2.5	PC_12	PC_12_2.5h	16795.865632			cluster_8
UL31	L	2h	2	PC_12	PC_12_2h	13856.209148			cluster_8
UL31	L	4h	4	PC_12	PC_12_4h	28774.386164			cluster_8
UL31	L	6h	6	PC_12	PC_12_6h	29582.463199			cluster_8
UL31	L	8h	8	PC_12	PC_12_8h	44059.15699			cluster_8
UL31	L	12h	12	PK_15	PK_15_12h	40165.931288			cluster_8
UL31	L	1h	1	PK_15	PK_15_1h	748.502994			cluster_8
UL31	L	2h	2	PK_15	PK_15_2h	14421.860504			cluster_8
UL31	L	4h	4	PK_15	PK_15_4h	29669.827013			cluster_8
UL31	L	6h	6	PK_15	PK_15_6h	35458.245502			cluster_8
UL31	L	8h	8	PK_15	PK_15_8h	39092.920519			cluster_8
UL32	L	12h	12	C6	C6_12h	27723.736592			cluster_8
